Product/Service Name,Quantity on hand,Item type,Category,SKU,Price,Cost,Income Account,Expense Account,Inventory asset account,Sales Description,Purchase Description,Reorder Point,Preferred Supplier
SPARK PLUG FK20HR11,6,Inventory,,,1250,689.66,Sales of Product Income,Cost of sales,Inventory Asset,,,,
SPARK PLUG FXE20HE11,6,Inventory,,,1225,948.28,Sales of Product Income,Cost of sales,Inventory Asset,,,,
SPARK PLUG FXE20HR11,12,Inventory,,,1250,948.28,Sales of Product Income,Cost of sales,Inventory Asset,,,,
SPARK PLUG IZFR6K-11,10,Inventory,,,1250,948.28,Sales of Product Income,Cost of sales,Inventory Asset,,,,
SPARK PLUG K16UR-11,1,Inventory,,,325,215.52,Sales of Product Income,Cost of sales,Inventory Asset,,,,
SPARK PLUG NGK BKR5EGP,4,Inventory,,,1125,689.66,Sales of Product Income,Cost of sales,Inventory Asset,,,,
SPARK PLUGSDENSO K16TR11,0,Inventory,,,325,103.45,Sales of Product Income,Cost of sales,Inventory Asset,,,,
SPARK PUG NISSAN ORIGINAL 22401-8H516,14,Inventory,,,725,560.34,Sales of Product Income,Cost of sales,Inventory Asset,,,,
SPARKO EPOXY,13,Inventory,,,300,112.07,Sales of Product Income,Cost of sales,Inventory Asset,,,,
SPECIAL COOLANT - T5,16,Inventory,,,3105,2433.95,Sales of Product Income,Cost of sales,Inventory Asset,,,,
SPIRAX S2 ATF D2 1L,-17,Inventory,,,735,500.63,Sales of Product Income,Cost of sales,Inventory Asset,,,,
SPIRAX S2 ATF D2 T1/2,8,Inventory,,,335,262.67,Sales of Product Income,Cost of sales,Inventory Asset,,,,
SPIRAX S2 ATF D2 T4,3,Inventory,,,2495,1956.24,Sales of Product Income,Cost of sales,Inventory Asset,,,,
SPIRAX S2 G 140 - T4,3,Inventory,,,2400,1879.16,Sales of Product Income,Cost of sales,Inventory Asset,,,,
SPIRAX S2 G 90 - T4,2,Inventory,,,2790,1900.32,Sales of Product Income,Cost of sales,Inventory Asset,,,,
SPIRAX S5 ATF X T1,0,Inventory,,,2000,1187.4,Sales of Product Income,Cost of sales,Inventory Asset,,,,
SUPER GLUE,7,Inventory,,,50,34.48,Sales of Product Income,Cost of sales,Inventory Asset,,,0,
TUBE PATCH NO1,3,Inventory,,,150,18.68,Sales of Product Income,Cost of sales,Inventory Asset,,,,
TUBE PATCH NO3,30,Inventory,,,200,34.48,Sales of Product Income,Cost of sales,Inventory Asset,,,,
TUBE PATCH NO5,8,Inventory,,,300,94.83,Sales of Product Income,Cost of sales,Inventory Asset,,,,
TUBELESS NOZZLE,11,Inventory,,,100,17.24,Sales of Product Income,Cost of sales,Inventory Asset,,,,
TUBELESS PATCH,13,Inventory,,,150,10.34,Sales of Product Income,Cost of sales,Inventory Asset,,,,
ux UNLEADED EXTRA,5432.94,Inventory,,,214,172.92,Sales of Product Income:Sales of Unleaded Income,Cost of sales:Unleaded Cos of Sales,Inventory Asset,,,,
vp V-POWER,1845.91,Inventory,,,229,184.97,Sales of Product Income:Sales of Vpower Income,Cost of sales:Vpower Cos of Sales,Inventory Asset,,,,
WIPERS ASSORTED,47,Inventory,,,350,175.49,Sales of Product Income,Cost of sales,Inventory Asset,,,,
